Custom Header,Domain,Resolved IP
11524400,_apple-mobdev._tcp.local,192.168.1.1
11524401,_apple-mobdev._tcp.local,192.168.1.2
11524402,facebook.com,192.168.1.3
11524403,stackoverflow.com,192.168.1.4
11524404,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.5
11524405,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.1
11524406,example.com,192.168.1.2
11524407,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.3
11524408,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.4
11524409,linkedin.com,192.168.1.5
11524410,_apple-mobdev._tcp.local,192.168.1.1
11524411,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.2
11524412,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.3
11524413,apple.com,192.168.1.4
11524414,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.5
11524415,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.1
11524416,_apple-mobdev._tcp.local,192.168.1.2
11524417,_apple-mobdev._tcp.local,192.168.1.3
11524418,google.com,192.168.1.4
11524419,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.5
11524420,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.1
11524421,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.2
11524422,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.3
